parent_ids,child_ids,times
6459,1,54
91955,2,56
12654,3,38
69551,4,38
98517,5,42
2985,7,73
47209,8,56
98485,9,57
68895,10,34
10,11,37
27211,12,48
31776,14,49
54742,15,40
5023,16,46
93677,18,42
89048,19,48
16786,20,50
5870,21,62
25,22,60
81946,23,29
23,24,37
84973,25,57
92134,26,51
64049,27,48
50884,28,47
65525,29,38
4972,31,43
35180,32,55
14639,34,40
34,35,45
55195,36,57
27767,37,44
61505,38,57
41627,39,63
37313,40,51
51662,42,51
12410,43,48
14895,44,41
44,46,48
73712,47,54
37478,48,50
61750,49,44
44713,50,38
49,52,50
54,53,50
18061,54,43
59,56,48
72567,57,44
3681,58,49
21044,59,43
82010,60,48
61427,61,47
53592,62,41
67,63,52
26952,64,45
43236,65,42
62,66,49
62,67,45
61196,68,43
16851,70,53
56419,72,47
35092,73,31
19904,74,48
4516,75,27
23531,76,48
30128,77,46
72311,78,44
38191,79,47
27838,80,45
1144,85,34
45661,86,47
9312,87,39
90,88,38
98026,90,33
14785,91,16
64043,93,63
60186,94,43
18973,95,58
53314,96,53
41076,97,53
67490,98,46
31392,100,38
49877,101,40
74404,102,52
80339,103,54
105,104,61
17895,105,55
107,106,55
86682,107,50
62496,109,43
59322,110,49
66251,111,49
87435,113,50
24867,114,54
52943,116,26
94854,117,40
93272,118,48
68793,119,49
81290,120,53
90750,123,41
4863,124,50
123,125,47
6740,126,45
126,127,50
90128,128,34
78877,129,49
12050,130,46
130,131,51
135,132,73
7644,133,48
42494,134,53
136,135,65
45134,136,56
24165,138,50
23393,139,44
141,140,72
67638,141,69
67127,142,48
72382,144,56
28789,148,42
5222,150,48
3997,151,63
54212,152,48
152,153,54
155,154,52
56333,155,46
19452,156,58
3164,157,33
90295,159,38
56333,163,51
76,164,52
164,165,58
70712,167,45
83512,168,47
87002,169,44
70761,170,54
67680,171,41
71022,172,64
56577,177,48
179,178,43
81230,179,38
35411,180,57
179,181,44
32247,184,37
184,185,42
58554,186,40
54060,187,56
82720,188,59
31454,189,47
67454,190,47
22296,191,46
189,192,49
74479,193,39
193,194,44
86689,195,47
53331,196,45
49624,197,58
26041,198,56
78894,199,53
