parent_ids,child_ids,times
4604,16,20
3310,37,24
1249,41,25
4104,66,23
1512,95,24
1362,143,25
3734,161,19
857,274,24
282,281,22
703,282,17
282,283,20
1028,307,22
282,323,22
4076,356,24
1602,357,22
4075,363,17
1177,416,25
440,440,0
1629,442,24
3908,450,12
3908,451,10
1249,456,25
699,530,24
1028,561,24
2180,578,20
1149,584,21
4104,598,21
1657,602,25
606,604,23
3734,606,17
3978,629,9
3681,674,23
3735,699,21
1334,703,15
703,704,18
703,705,20
703,706,21
727,727,0
4075,747,18
4075,765,20
765,766,24
1629,788,22
727,790,5
727,801,7
4075,831,20
1877,855,22
3734,857,20
857,858,23
1363,862,18
3734,913,18
282,914,20
629,994,17
994,995,22
1028,1023,22
1028,1024,23
1028,1025,24
4075,1028,19
1529,1081,20
1109,1109,0
1601,1140,13
3157,1149,18
282,1177,21
1225,1225,0
3203,1227,18
4438,1233,9
606,1249,21
3908,1250,11
1601,1270,12
1529,1278,18
706,1294,24
3157,1313,17
1335,1334,12
4438,1335,8
578,1348,24
3681,1352,24
1363,1362,20
1601,1363,14
1362,1364,24
282,1426,24
4075,1446,18
282,1485,25
4075,1512,20
1530,1529,12
4438,1530,9
1530,1531,16
1530,1532,15
4438,1538,14
1538,1539,17
1539,1540,20
3157,1553,22
3908,1601,9
1601,1602,15
705,1609,25
1363,1611,25
4075,1629,19
3310,1657,20
363,1738,21
3640,1743,23
2739,1744,20
1601,1796,16
1802,1802,0
1802,1803,7
3735,1847,23
1849,1849,0
3310,1864,23
1601,1877,16
2251,1894,21
1907,1905,9
3978,1907,3
4438,1919,10
3787,1942,25
1363,1946,20
1946,1948,24
3735,1979,19
1538,2005,22
2024,2024,0
3901,2029,23
3606,2040,25
3734,2041,17
2269,2136,24
706,2164,25
3851,2167,14
1538,2169,21
4075,2176,22
2180,2177,23
2180,2179,22
1530,2180,17
2180,2181,21
2180,2182,24
1363,2199,20
4801,2221,25
1529,2251,17
2251,2252,22
2269,2267,23
2269,2268,25
1905,2269,20
3640,2281,21
3735,2286,24
4075,2311,24
2313,2312,22
1919,2313,15
703,2315,21
2315,2344,25
3925,2359,24
3735,2363,24
3908,2368,15
363,2383,20
2180,2399,21
1919,2463,19
3787,2468,25
2951,2473,25
3157,2496,16
1796,2497,23
3640,2504,23
1538,2519,17
4078,2541,25
1446,2552,21
4801,2581,25
3787,2590,25
699,2617,24
1738,2664,25
3640,2678,24
3735,2699,23
1919,2739,14
4075,2750,20
3735,2778,22
1177,2798,24
1877,2850,23
699,2866,25
2928,2928,0
1602,2951,21
3734,2982,18
1028,3012,24
3734,3046,15
2383,3070,25
1446,3078,24
1446,3119,23
3640,3144,23
3158,3157,12
1907,3158,8
1530,3171,16
862,3185,23
1601,3200,19
3200,3201,25
1802,3203,6
4104,3221,25
2383,3248,25
3734,3250,17
1149,3278,21
4075,3281,20
1629,3283,22
3310,3309,21
3157,3310,18
3310,3312,25
801,3343,13
1539,3354,24
3046,3372,20
3908,3378,13
3378,3379,18
3735,3444,20
3908,3464,14
3734,3498,22
3157,3503,19
1446,3510,22
1529,3515,19
4075,3593,17
3593,3595,21
3734,3606,19
3640,3637,24
703,3640,19
3640,3641,24
4899,3653,25
3640,3667,24
3681,3680,25
1363,3681,17
4899,3683,25
2269,3699,24
705,3704,22
705,3718,25
4438,3734,12
3734,3735,17
450,3743,17
1629,3754,24
1738,3784,24
3503,3787,22
1530,3832,15
282,3841,22
2251,3844,25
3978,3851,8
1539,3901,21
727,3908,6
4803,3925,16
3978,3978,0
1028,4068,23
3851,4075,14
4075,4076,20
4075,4078,19
4103,4103,0
450,4104,18
4104,4105,21
801,4113,10
4075,4114,24
3735,4146,23
3310,4180,24
3735,4215,22
3606,4228,25
1278,4255,25
4899,4259,25
3681,4287,24
3640,4324,24
2739,4349,19
4883,4370,22
4375,4374,25
3310,4375,22
4438,4437,8
727,4438,5
282,4471,20
4075,4494,19
3310,4542,25
1530,4604,13
2951,4723,24
862,4743,21
703,4762,22
282,4793,25
1538,4794,19
4803,4801,20
1803,4803,12
4801,4804,25
1657,4823,24
1602,4839,23
1250,4883,17
3734,4899,21
4899,4904,25
440,4909,4
3681,4925,24
3787,4931,25
862,4954,24
